date,category,description,amount
2026-07-01,Housing,Shared accommodation rent,452.74
2026-07-02,Food,Grocery shop,42.80
2026-07-03,Travel,Bus and tube fares,18.40
2026-07-04,Subscription,Productivity app subscription,21.99
2026-07-05,Food,Coffee and breakfast,7.60
2026-07-06,Utilities,Mobile phone bill,18.50
2026-07-07,Shopping,Work supplies,13.25
2026-07-08,Education,Course notes,16.00
2026-07-09,Travel,Train ticket,24.70
2026-07-10,Food,Meal prep ingredients,31.20
2026-07-11,Health,Pharmacy essentials,9.45
2026-07-12,Entertainment,Cinema ticket,14.25
2026-07-13,Utilities,Internet contribution,24.51
2026-07-14,Food,Lunch out,11.80
2026-07-15,Travel,Coach ticket,19.90
2026-07-16,Shopping,Notebook and pens,8.99
2026-07-17,Subscription,Cloud storage subscription,8.99
2026-07-18,Food,Weekend groceries,36.40
2026-07-19,Education,Online learning resource,27.50
2026-07-20,Travel,Tube top up,20.00
2026-07-21,Utilities,Electricity contribution,26.10
2026-07-22,Food,Cafe lunch,9.75
2026-07-23,Health,Toiletries,12.30
2026-07-24,Entertainment,Streaming rental,5.99
2026-07-25,Shopping,Desk accessories,15.40
2026-07-26,Food,Grocery top up,23.65
2026-07-27,Travel,Local transport,8.20
2026-07-28,Education,Printing credits,6.50
2026-07-29,Utilities,Water bill contribution,24.51
2026-07-30,Food,Dinner ingredients,18.35
2026-07-31,Shopping,Household items,17.25
