date,category,description,amount
2026-05-01,Housing,Shared accommodation rent,452.74
2026-05-02,Food,Weekly grocery shop,48.35
2026-05-03,Travel,Tube top up,20.00
2026-05-05,Subscription,Productivity app subscription,21.99
2026-05-07,Utilities,Mobile phone bill,18.50
2026-05-10,Food,Coffee and lunch,12.80
2026-05-12,Education,Course materials,35.00
2026-05-15,Travel,Train ticket,26.40
2026-05-18,Shopping,Work notebook,9.99
2026-05-21,Health,Pharmacy items,7.65
2026-05-23,Utilities,Shared utility bill,24.51
2026-05-26,Entertainment,Cinema ticket,14.25
2026-05-29,Food,Weekend groceries,32.10
2026-06-01,Housing,Shared accommodation rent,452.74
2026-06-02,Travel,Bus ticket,4.80
2026-06-04,Food,Coffee,3.40
2026-06-06,Food,Grocery top up,22.60
2026-06-08,Education,Printing credits,6.50
2026-06-10,Utilities,Internet contribution,24.51
2026-06-12,Travel,Train fare,18.90
2026-06-14,Entertainment,Streaming rental,5.99
2026-06-16,Shopping,Desk organiser,11.75
2026-06-18,Health,Toiletries and medicine,13.20
2026-06-20,Food,Meal prep ingredients,28.45
2026-06-22,Travel,Coach ticket,17.80
2026-06-23,Utilities,Electricity contribution,24.51
2026-06-24,Subscription,Cloud storage subscription,8.99
2026-06-25,Food,Cafe lunch,9.25
2026-06-26,Education,Online workshop,29.00
2026-06-27,Shopping,Stationery,8.25
