date,category,description,amount
2026-05-01,Housing,Monthly rent,452.74
2026-05-02,Food,Grocery shop,48.35
2026-05-03,Travel,Tube top up,20.00
2026-05-05,Subscription,ChatGPT Plus,21.99
2026-05-07,Utilities,Mobile phone bill,18.50
2026-05-10,Food,Coffee and lunch,12.80
2026-05-12,Education,Course materials,35.00
2026-05-15,Travel,Train ticket,26.40
2026-05-18,Shopping,Work notebook,9.99
2026-05-21,Health,Pharmacy items,7.65
2026-05-23,Utilities,Shared utility bill,24.51
2026-05-26,Entertainment,Cinema ticket,14.25
2026-05-29,Food,Weekend groceries,32.10
2026-06-02,Travel,Bus fare,6.40
2026-06-04,Food,Meal deal,5.25
