date,category,description,amount
2026-05-01,Groceries,Tesco weekly shop,64.25
2026-05-02,Transport,Train to London client meeting,38.60
2026-05-03,Food,Coffee and lunch after study session,18.40
2026-05-04,Utilities,Mobile phone bill,22.99
2026-05-05,Entertainment,Cinema tickets,27.50
2026-05-06,Groceries,Aldi essentials top up,31.80
2026-05-07,Education,Finance certification practice exam,49.00
2026-05-08,Subscriptions,Cloud storage subscription,8.99
2026-05-10,Transport,Uber after late shift,16.70
2026-05-11,Food,Team lunch,24.30
2026-05-12,Health,Pharmacy purchase,12.45
2026-05-14,Groceries,Sainsbury household shop,72.10
2026-05-16,Shopping,Work shirt and belt,58.00
2026-05-18,Transport,Weekly bus pass,21.00
2026-05-20,Food,Dinner with friends,42.75
2026-05-22,Education,Data analytics course materials,35.00
2026-05-24,Utilities,Electricity bill payment,86.40
2026-05-26,Groceries,Costco bulk groceries,94.60
2026-05-28,Entertainment,Concert booking deposit,65.00
2026-05-30,Transport,Fuel top up,44.20
2026-06-01,Groceries,Tesco monthly start shop,81.35
2026-06-03,Food,Office breakfast and coffee,13.80
2026-06-05,Transport,Train to Birmingham,52.90
2026-06-07,Subscriptions,Streaming bundle,17.99
2026-06-09,Health,Gym monthly fee,29.99
2026-06-11,Groceries,Aldi weekly shop,48.55
2026-06-13,Shopping,Replacement laptop charger,39.99
2026-06-15,Food,Birthday dinner contribution,33.50
2026-06-17,Utilities,Water bill payment,31.25
2026-06-19,Education,Python book,26.00
2026-06-21,Transport,Airport transfer,46.00
2026-06-23,Groceries,Sainsbury weekly shop,56.80
2026-06-25,Entertainment,Football match ticket,41.00
2026-06-27,Food,Weekend takeaway,22.60
2026-06-29,Transport,Weekly bus pass,21.00
