date,category,description,amount
2026-05-01,Housing,Student accommodation contribution,380.00
2026-05-02,Food,Weekly groceries,41.20
2026-05-04,Travel,Campus bus pass,18.00
2026-05-06,Subscription,Gemini Pro Subscription,18.99
2026-05-08,Education,Printing credits,6.50
2026-05-11,Food,Meal prep ingredients,27.85
2026-05-13,Utilities,Mobile data add on,10.00
2026-05-16,Health,Gym day pass,8.99
2026-05-18,Shopping,USB cable,7.49
2026-05-20,Entertainment,Streaming rental,4.99
2026-05-23,Utilities,Electricity contribution,24.51
2026-05-25,Travel,Train to library,9.80
2026-05-28,Food,Takeaway dinner,16.75
2026-06-01,Education,Textbook rental,22.00
2026-06-05,Food,Cafe lunch,8.45
