date,category,description,amount
2026-05-01,Housing,House rent share,452.74
2026-05-02,Food,Groceries,39.65
2026-05-04,Travel,Oyster top up,15.00
2026-05-06,Subscription,Music subscription,10.99
2026-05-09,Education,Online workshop,29.00
2026-05-11,Food,Lunch with friends,13.40
2026-05-13,Shopping,Stationery,8.25
2026-05-15,Travel,Coach ticket,17.80
2026-05-18,Health,Dental supplies,6.95
2026-05-21,Entertainment,Bowling,12.50
2026-05-23,Utilities,Water bill contribution,24.51
2026-05-27,Food,Weekly groceries,34.70
2026-05-31,Shopping,T-shirt,14.99
2026-06-02,Travel,Bus ticket,4.80
2026-06-04,Food,Coffee,3.40
