date,category,description,amount
2026-05-01,Housing,Rent contribution,425.00
2026-05-02,Food,Supermarket groceries,44.90
2026-05-03,Entertainment,Game subscription,12.99
2026-05-05,Travel,Tube fare,6.40
2026-05-08,Shopping,Desk mouse mat,11.50
2026-05-10,Food,Pizza night,18.20
2026-05-12,Subscription,Cloud storage,2.49
2026-05-14,Utilities,Phone contract,16.00
2026-05-17,Entertainment,Game sale purchase,24.99
2026-05-20,Travel,Return train ticket,21.30
2026-05-23,Utilities,Internet contribution,24.51
2026-05-26,Health,Vitamins,9.75
2026-05-30,Food,Weekend groceries,36.60
2026-06-03,Entertainment,Controller batteries,6.99
2026-06-05,Food,Sandwich and drink,6.10
